ISIN,NAME,Country,Region,Years_With_Both_Scopes
GB00BF8Q6K64,ABERDEEN GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE0006048432,HENKEL PREFERENCE,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
NL0000009082,KPN KON,NL,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0001048619,TED BAKER DEAD - DELIST.24/10/22,GB,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
BE0003565737,KBC GROUP,BE,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BDCPN049,COCA COLA EUROPACIFIC PARTNERS,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B82YXW83,VESUVIUS,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE0005785604,FRESENIUS,DE,EUR,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IT0001137345,AUTOGRILL DEAD - DELIST.24/07/23,IT,EUR,"[2017, 2018, 2019, 2020, 2021, 2022]"
FR0000120560,QUADIENT,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
JE00BYVQYS01,INTERNATIONAL WORKPLACE GROUP,CH,EUR,"[2021, 2022, 2023, 2024]"
DE000A0D9PT0,MTU AERO ENGINES HLDG.,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0007669376,ST.JAMES'S PLACE ORD,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
SE0018012635,WIHLBORGS FASTIGHETER,SE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
